token_id,token_string,cleaned_token,token_label,has_leading_space,primary_signal,confidence_level,llm_category,final_category,n_contexts,has_contexts,gpu_id
34,A,A,subword_en,False,WORD,high,FUNCTION,FUNCTION_DET,10,True,0
35,B,B,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
36,C,C,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
37,D,D,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
38,E,E,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
39,F,F,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
40,G,G,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
41,H,H,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
42,I,I,subword_en,False,WORD,high,PRONOUN,PRONOUN_PERSONAL,10,True,0
43,J,J,subword_en,False,SINGLE_CHAR_FRAGMENT,high,NOUN_PROPER,NOUN_PROPER,10,True,0
44,K,K,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
45,L,L,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
46,M,M,subword_en,False,SINGLE_CHAR_FRAGMENT,high,NOUN_PROPER,NOUN_PROPER,10,True,0
47,N,N,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
48,O,O,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
49,P,P,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
50,Q,Q,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
51,R,R,subword_en,False,SINGLE_CHAR_FRAGMENT,high,NOUN_PROPER,NOUN_PROPER,10,True,0
52,S,S,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
53,T,T,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
54,U,U,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
55,V,V,subword_en,False,SINGLE_CHAR_FRAGMENT,high,NOUN_PROPER,NOUN_PROPER,10,True,0
56,W,W,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
57,X,X,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
58,Y,Y,subword_en,False,SINGLE_CHAR_FRAGMENT,high,PRONOUN,PRONOUN,10,True,0
59,Z,Z,subword_en,False,SINGLE_CHAR_FRAGMENT,high,NOUN_PROPER,NOUN_PROPER,10,True,0
66,a,a,subword_en,False,WORD,high,FUNCTION,FUNCTION_DET,10,True,0
67,b,b,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
68,c,c,subword_en,False,SINGLE_CHAR_FRAGMENT,high,CONTRACTION,CONTRACTION,10,True,0
69,d,d,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
70,e,e,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
71,f,f,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
72,g,g,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
73,h,h,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
74,i,i,subword_en,False,SINGLE_CHAR_FRAGMENT,high,PREFIX,PREFIX,10,True,0
75,j,j,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
76,k,k,subword_en,False,SINGLE_CHAR_FRAGMENT,high,CONTRACTION,CONTRACTION,10,True,0
77,l,l,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
78,m,m,subword_en,False,SINGLE_CHAR_FRAGMENT,high,CONTRACTION,CONTRACTION,10,True,0
79,n,n,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
80,o,o,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
81,p,p,subword_en,False,SINGLE_CHAR_FRAGMENT,high,PREFIX,PREFIX,10,True,0
82,q,q,subword_en,False,SINGLE_CHAR_FRAGMENT,high,PREFIX,PREFIX,10,True,0
83,r,r,subword_en,False,SINGLE_CHAR_FRAGMENT,high,CONTRACTION,CONTRACTION,10,True,0
84,s,s,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
85,t,t,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
86,u,u,subword_en,False,SINGLE_CHAR_FRAGMENT,high,CONTRACTION,CONTRACTION,10,True,0
87,v,v,subword_en,False,SINGLE_CHAR_FRAGMENT,high,SUFFIX,SUFFIX,10,True,0
88,w,w,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
89,x,x,subword_en,False,SINGLE_CHAR_FRAGMENT,high,PREFIX,PREFIX,10,True,0
90,y,y,subword_en,False,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
91,z,z,subword_en,False,SINGLE_CHAR_FRAGMENT,high,CONTRACTION,CONTRACTION,10,True,0
246,Ġt,t,word_en,True,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
247,Ġa,a,word_en,True,WORD,high,FUNCTION,FUNCTION_DET,10,True,0
248,he,he,subword_en,False,WORD,very_high,PRONOUN,PRONOUN_PERSONAL,10,True,0
249,in,in,subword_en,False,WORD,very_high,FUNCTION,FUNCTION_PREP,10,True,0
250,re,re,subword_en,False,WORD,medium,PREFIX,PREFIX,10,True,0
251,on,on,subword_en,False,WORD,very_high,FUNCTION,FUNCTION_PREP,10,True,0
253,Ġthe,the,word_en,True,WORD,very_high,FUNCTION,FUNCTION_DET,10,True,0
254,er,er,subword_en,False,SUBTOKEN,very_high,SUFFIX,SUFFIX,10,True,0
255,at,at,subword_en,False,WORD,very_high,FUNCTION,FUNCTION_PREP,10,True,0
256,Ġs,s,word_en,True,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
257,en,en,subword_en,False,SUBTOKEN,very_high,SUFFIX,SUFFIX,10,True,0
258,Ġo,o,word_en,True,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
259,Ġw,w,word_en,True,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
260,Ġc,c,word_en,True,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
261,is,is,subword_en,False,WORD,very_high,VERB,VERB_AUXILIARY,10,True,0
262,it,it,subword_en,False,WORD,very_high,PRONOUN,PRONOUN_PERSONAL,10,True,0
263,or,or,subword_en,False,WORD,very_high,FUNCTION,FUNCTION_CONJ,10,True,0
264,ed,ed,subword_en,False,SUBTOKEN,high,SUFFIX,SUFFIX,10,True,0
265,es,es,subword_en,False,SUBTOKEN,very_high,SUFFIX,SUFFIX,10,True,0
266,an,an,subword_en,False,WORD,very_high,FUNCTION,FUNCTION_DET,10,True,0
267,al,al,subword_en,False,SUBTOKEN,medium,SUFFIX,SUFFIX,10,True,0
268,Ġp,p,word_en,True,SINGLE_CHAR_FRAGMENT,high,FUNCTION,FUNCTION_PARTICLE,10,True,0
